input_size_mb,dpu_cnt,tf_method,cpu_dpu_ms,dpu_cpu_ms
48,15,parallel,0.3927,1.4546
48,15,broadcast,0.4168,0.1314
48,16,serial,0.3957,1.6103
48,16,parallel,0.3882,1.6553
48,16,broadcast,0.3934,0.1312
48,17,serial,0.398,1.3783
48,17,parallel,0.409,1.5214
48,17,broadcast,0.4198,0.1403
48,18,serial,0.3796,1.8107
48,18,parallel,0.3813,1.3967
48,18,broadcast,0.3925,0.1468
48,19,serial,0.3988,1.6179
48,19,parallel,0.4049,1.7703
48,19,broadcast,0.4095,0.1501
48,20,serial,0.4241,1.6129
48,20,parallel,0.4088,1.6207
48,20,broadcast,0.4107,0.1575
48,21,serial,0.4338,1.7514
48,21,parallel,0.3922,1.5327
48,21,broadcast,0.3801,0.17
48,22,serial,0.3974,2.0007
48,22,parallel,0.4138,1.6318
48,22,broadcast,0.3846,0.1729
48,23,serial,0.3914,1.7204
48,23,parallel,0.3887,1.6479
48,23,broadcast,0.4526,0.1921
48,24,serial,0.4249,1.6398
48,24,parallel,0.4136,1.4917
48,24,broadcast,0.3894,0.1906
48,25,serial,0.43,1.5255
48,25,parallel,0.432,1.9128
48,25,broadcast,0.3914,0.1767
48,26,serial,0.4294,1.7718
48,26,parallel,0.4347,1.9246
48,26,broadcast,0.4152,0.1969
48,27,serial,0.4376,1.7294
48,27,parallel,0.4164,1.8768
48,27,broadcast,0.5877,0.2169
48,28,serial,0.4755,1.5702
48,28,parallel,0.4756,1.7344
48,28,broadcast,0.4251,0.2209
48,29,serial,0.4554,1.7067
48,29,parallel,0.4515,1.7286
48,29,broadcast,0.3883,0.1927
48,30,serial,0.4763,1.8826
48,30,parallel,0.4355,1.7202
48,30,broadcast,0.4167,0.2194
48,31,serial,0.4627,1.6544
48,31,parallel,0.4602,1.7873
48,31,broadcast,0.3967,0.1994
48,32,serial,0.4686,1.777
48,32,parallel,0.4788,1.6651
48,32,broadcast,0.4425,0.2072
48,33,serial,0.4772,1.7683
48,33,parallel,0.4949,1.6839
48,33,broadcast,0.404,0.219
48,34,serial,0.515,1.2608
48,34,parallel,0.4804,1.6218
48,34,broadcast,0.419,0.2172
48,35,serial,0.4951,1.8995
48,35,parallel,0.4835,1.9214
48,35,broadcast,0.4381,0.2224
48,36,serial,0.4952,1.8293
48,36,parallel,0.4833,1.8682
48,36,broadcast,0.4487,0.2282
48,37,serial,0.4914,2.0875
48,37,parallel,0.4863,2.0877
48,37,broadcast,0.419,0.2029
48,38,serial,0.5121,1.8693
48,38,parallel,0.4824,1.9235
48,38,broadcast,0.4229,0.2275
48,39,serial,0.528,1.8368
48,39,parallel,0.51,1.9184
48,39,broadcast,0.422,0.226
48,40,serial,0.521,1.966
48,40,parallel,0.5937,1.6638
48,40,broadcast,0.4366,0.2291
48,41,serial,0.5539,1.632
48,41,parallel,0.4936,2.0016
48,41,broadcast,0.4886,0.263
48,42,serial,0.5092,2.0961
48,42,parallel,0.5077,1.9402
48,42,broadcast,0.4257,0.2256
48,43,serial,0.5109,1.8689
48,43,parallel,0.5359,2.0319
48,43,broadcast,0.446,0.2494
48,44,serial,0.6536,1.7674
48,44,parallel,0.5266,2.0633
48,44,broadcast,0.5406,0.3149
48,45,serial,0.533,2.2523
48,45,parallel,0.545,2.0971
48,45,broadcast,0.4663,0.2551
48,46,serial,0.5433,2.1219
48,46,parallel,0.5375,2.1007
48,46,broadcast,0.4789,0.3073
48,47,serial,0.5525,2.2693
48,47,parallel,0.5342,2.1133
48,47,broadcast,0.4791,0.2312
48,48,serial,0.5491,1.9592
48,48,parallel,0.5293,1.9932
48,48,broadcast,0.4783,0.2288
48,49,serial,0.5804,2.0182
48,49,parallel,0.5468,2.1736
48,49,broadcast,0.4722,0.2529
48,50,serial,0.5754,2.2382
48,50,parallel,0.5504,2.2382
48,50,broadcast,0.4738,0.2376
48,51,serial,0.5651,2.0389
48,51,parallel,0.5656,2.3078
48,51,broadcast,0.4778,0.2186
48,52,serial,0.5566,2.2052
48,52,parallel,0.59,2.1413
48,52,broadcast,0.6809,0.3743
48,53,serial,0.6023,2.2059
48,53,parallel,0.5817,2.1325
48,53,broadcast,0.5326,0.25
48,54,serial,0.5859,2.1891
48,54,parallel,0.5824,2.0468
48,54,broadcast,0.4569,0.2376
48,55,serial,0.5878,2.1196
48,55,parallel,0.5548,2.2482
48,55,broadcast,0.4777,0.2109
48,56,serial,0.5908,2.1971
48,56,parallel,0.5785,2.2645
48,56,broadcast,0.4963,0.2659
48,57,serial,0.626,2.4167
48,57,parallel,0.6032,2.1592
48,57,broadcast,0.5035,0.259
48,58,serial,0.6582,2.0847
48,58,parallel,0.5917,2.0512
48,58,broadcast,0.4549,0.2369
48,59,serial,0.6244,2.3268
48,59,parallel,0.604,2.224
48,59,broadcast,0.4965,0.2826
48,60,serial,0.6115,2.1933
48,60,parallel,0.6329,2.3338
48,60,broadcast,0.5404,0.3159
48,61,serial,0.6157,2.2141
48,61,parallel,0.6184,2.0416
48,61,broadcast,0.5138,0.2582
48,62,serial,0.6333,2.1449
48,62,parallel,0.5726,2.1159
48,62,broadcast,0.5576,0.2712
48,63,serial,0.6112,2.2329
48,63,parallel,0.6337,2.2272
48,63,broadcast,0.4854,0.3079
48,64,serial,0.6426,2.3638
48,64,parallel,0.646,2.3843
48,64,broadcast,0.5151,0.2714
